N°	sx,m	sx,a	txy,a	N	lambda	delta
P1B1	0	190	0	160000	0	0
P2B2	0	180	0	248518	0	0
P3B3	0	164	0	444411	0	0
P4B4	0	144	0	1069220	0	0
P5B5	0	224	0	56285	0	0
P6B4	0	145	0	1238325	0	0
P7B1	0	187	0	200480	0	0
P8B3	0	161	0	423590	0	0
PC9T1	0	0	117	534032	Inf	0
PC10T2	0	0	155	26987	Inf	0
PC11T3	0	0	127	76665	Inf	0
PC12T3	0	0	127	132295	Inf	0
PC13T1	0	0	117	203535	Inf	0
PC14T2	0	0	155	16195	Inf	0
PC15T4	0	0	106	Inf	Inf	0	>1010000
PC16T4	0	0	104	565150	Inf	0
P17BT1	0	57	100	266435	1.75	0
P18BT2	0	51	84	1119254	1.65	0
P19BT2	0	51	84	1416225	1.65	0
P20BT3	0	71	118	83000	1.66	0
P21BT3	0	70	118	75695	1.69	0
P22BT1	0	59	99	630325	1.68	0
P23BT4	0	132	97	157210	0.73	0
P24BT4	0	132	99	126470	0.75	0
P25BT5	0	144	107	35450	0.74	0
P26BT5	0	149	105	68465	0.70	0
P27BT6	0	122	90	252658	0.74	0
P28BT7	0	116	83	316149	0.72	0
P30BT8	0	148	66	278836	0.45	90
P31BT9	0	152	47	465010	0.31	90
P32BT8	0	149	68	118965	0.46	90
P33BT9	0	155	72	447525	0.46	90
P34BT10	0	190	105	47940	0.55	90
P35BT10	0	189	106	30995	0.56	90
P36BT11	0	79	129	23080	1.63	90
P37BT12	0	69	110	202807	1.59	90
P38BT13	0	68	99	262980	1.46	90
P39BT13	0	68	99	398615	1.46	90
P41BT15	0	79	116	46045	1.47	90
